PLT_CN,PDSI_ATA_bin
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.58069E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,2
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,1
1.5807E+13,2
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,1
1.58071E+13,2
1.58072E+13,1
1.58072E+13,1
1.58072E+13,1
1.58072E+13,1
1.58072E+13,1
1.58072E+13,1
1.58072E+13,2
1.58072E+13,1
1.58072E+13,1
1.58072E+13,1
1.58072E+13,1
1.58072E+13,2
1.58072E+13,2
1.58072E+13,1
1.58073E+13,1
1.58073E+13,1
1.58073E+13,1
1.58073E+13,1
1.58073E+13,1
1.58073E+13,1
1.58073E+13,1
1.58073E+13,2
1.62322E+13,2
1.62323E+13,2
1.62323E+13,2
1.62323E+13,2
1.62323E+13,2
1.62323E+13,2
1.62324E+13,2
1.62324E+13,2
1.62324E+13,3
1.62324E+13,2
1.62324E+13,2
1.62324E+13,2
1.62324E+13,2
1.62324E+13,2
1.62324E+13,2
1.62325E+13,1
1.62325E+13,1
1.62325E+13,2
1.62325E+13,2
1.62325E+13,2
1.62326E+13,2
1.62326E+13,2
1.62327E+13,2
1.62327E+13,2
1.62327E+13,2
1.62328E+13,1
1.62328E+13,2
1.62328E+13,2
1.62328E+13,2
1.62328E+13,2
1.62328E+13,2
1.62328E+13,2
1.62328E+13,2
1.62328E+13,1
1.62329E+13,2
1.62329E+13,1
1.62329E+13,1
1.62329E+13,2
1.62329E+13,2
1.62329E+13,2
1.62329E+13,2
1.62329E+13,2
1.62329E+13,2
1.62329E+13,1
1.62329E+13,1
1.62329E+13,2
1.6233E+13,2
1.6233E+13,2
1.6233E+13,2
1.6233E+13,1
1.6233E+13,2
1.6233E+13,2
1.6233E+13,2
1.6233E+13,2
1.6233E+13,2
1.62331E+13,2
1.62331E+13,2
1.62331E+13,2
1.62331E+13,2
1.62646E+13,1
1.62646E+13,1
1.62646E+13,1
1.62646E+13,1
1.62646E+13,1
1.62646E+13,1
1.62646E+13,1
1.62646E+13,2
1.62646E+13,1
1.62646E+13,1
1.62646E+13,1
1.62646E+13,1
1.62646E+13,2
1.62646E+13,1
1.62646E+13,2
1.62647E+13,2
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
1.62647E+13,1
